FrameIndex,TrueLabel,ViT_Pred,HOC_Pred,Cyclo_Pred,DS_Fusion_Pred,Correct,Confidence,Conflict,SNR
1,16QAM,16QAM,64qam,16QAM,16QAM,1,0.687734534167475,0.243642262081591,0
10,16QAM,64QAM,64qam,16QAM,16QAM,1,0.517788443261405,0.275326841162475,0
100,16QAM,16QAM,64qam,16QAM,16QAM,1,0.774848652602674,0.194118243387131,0
101,16QAM,64QAM,64qam,16QAM,16QAM,1,0.591218895511896,0.249178841160948,0
102,16QAM,16QAM,64qam,16QAM,16QAM,1,0.706542597928073,0.237214258095096,0
103,16QAM,QPSK,64qam,16QAM,16QAM,1,0.590656448263368,0.284061133114807,0
104,16QAM,16QAM,64qam,16QAM,16QAM,1,0.728800870680175,0.22119340047561,0
105,16QAM,16QAM,64qam,16QAM,16QAM,1,0.706079369069822,0.235388603075763,0
106,16QAM,16QAM,64qam,16QAM,16QAM,1,0.718870300245955,0.229174302736638,0
107,16QAM,64QAM,16qam,16QAM,16QAM,1,0.614667016625538,0.258260143175841,0
108,16QAM,64QAM,64qam,16QAM,16QAM,1,0.592793510799103,0.250512741375002,0
109,16QAM,16QAM,64qam,16QAM,16QAM,1,0.762202066969016,0.205673302169262,0
11,16QAM,16QAM,64qam,16QAM,16QAM,1,0.656626898765653,0.233374607436474,0
110,16QAM,16QAM,64qam,16QAM,16QAM,1,0.705420435849547,0.236631285597884,0
111,16QAM,16QAM,64qam,16QAM,16QAM,1,0.626968210770364,0.256739019845201,0
112,16QAM,16QAM,64qam,16QAM,16QAM,1,0.736886010559863,0.221108893251362,0
113,16QAM,16QAM,64qam,16QAM,16QAM,1,0.635048181778518,0.239232565250249,0
114,16QAM,64QAM,64qam,16QAM,16QAM,1,0.618374548600543,0.24240739088986,0
115,16QAM,16QAM,64qam,16QAM,16QAM,1,0.658861471279902,0.24423327282928,0
116,16QAM,QPSK,64qam,16QAM,16QAM,1,0.58671118963426,0.285189268583681,0
117,16QAM,64QAM,64qam,16QAM,16QAM,1,0.616048543348229,0.243279131911224,0
118,16QAM,16QAM,16qam,16QAM,16QAM,1,0.750436369467523,0.213937015268987,0
119,16QAM,64QAM,64qam,16QAM,16QAM,1,0.538648309000179,0.264567956085172,0
12,16QAM,64QAM,64qam,16QAM,16QAM,1,0.630787088031723,0.240659643259329,0
120,16QAM,16QAM,64qam,16QAM,16QAM,1,0.714671842595705,0.228962748591911,0
